sample.id,sample_no,subspp,sex,collection,lat,lon,elev,date,sampling_year,sampling_month,sampling_day,sampling_yrday,gen_cycle
LB-67,67,,1,LB,-37.3,149.8,160,8/12/2020,2020,12,8,342,1
LB-68,68,,1,LB,-37.15,149.85,67,8/12/2020,2020,12,8,342,1
LB-69,69,,1,LB,-37.15,149.85,67,9/12/2020,2020,12,9,343,1
LB-7,7,,1,LB,-35.8,150.15,127,17/1/2020,2020,1,17,17,1
LB-70,70,,1,LB,-36.5,150,157,10/12/2020,2020,12,10,344,1
LB-72,72,,1,LB,-36.5,150,157,10/12/2020,2020,12,10,344,1
LB-73,73,,0,LB,-36.5,150,157,10/12/2020,2020,12,10,344,1
LB-74,74,,1,LB,-36.5,150,157,10/12/2020,2020,12,10,344,1
LB-75,75,,1,LB,-36.5,150,157,10/12/2020,2020,12,10,344,1
LB-8,8,,1,LB,-35.8,150.15,127,17/1/2020,2020,1,17,17,1
LB-9,9,,1,LB,-35.8,150.15,127,17/1/2020,2020,1,17,17,1
MCV-1,1,abeona,1,MCV,-35.55,150.35,62,21/1/2020,2020,1,21,21,1
MCV-10,10,?,1,MCV,-36.15,150.05,69,24/1/2020,2020,1,24,24,1
MCV-100,100,,1,MCV,-36.45,150,144,24/1/2020,2020,1,24,24,1
MCV-101,101,,-1,MCV,-36.45,150,144,24/1/2020,2020,1,24,24,1
MCV-102,102,,1,MCV,-36.45,150,144,24/1/2020,2020,1,24,24,1
MCV-103,103,,1,MCV,-36.45,150,144,24/1/2020,2020,1,24,24,1
MCV-104,104,,1,MCV,-36.45,150,144,24/1/2020,2020,1,24,24,1
MCV-105,105,,1,MCV,-36.45,150,144,24/1/2020,2020,1,24,24,1
MCV-106,106,,1,MCV,-37.1,149.95,67,25/2/2020,2020,2,25,56,-1
MCV-107,107,,1,MCV,-37.1,149.95,67,25/2/2020,2020,2,25,56,-1
MCV-108,108,,1,MCV,-36,150.1,76,26/2/2020,2020,2,26,57,-1
MCV-109,109,,1,MCV,-35.85,150.1,14,26/2/2020,2020,2,26,57,-1
MCV-11,11,?,1,MCV,-36.15,150,199,24/1/2020,2020,1,24,24,1
MCV-110,110,,1,MCV,-36,150.1,76,27/2/2020,2020,2,27,58,-1
MCV-111,111,,1,MCV,-36,150.1,76,27/2/2020,2020,2,27,58,-1
MCV-112,112,,1,MCV,-35.7,150.15,146,27/2/2020,2020,2,27,58,-1
MCV-113,113,,1,MCV,-35.7,150.15,146,27/2/2020,2020,2,27,58,-1
MCV-114,114,,1,MCV,-35.7,150.15,146,27/2/2020,2020,2,27,58,-1
MCV-115,115,,1,MCV,-35.7,150.15,146,27/2/2020,2020,2,27,58,-1
MCV-116,116,,1,MCV,-35.7,150.15,146,27/2/2020,2020,2,27,58,-1
MCV-117,117,,1,MCV,-35.7,150.15,146,27/2/2020,2020,2,27,58,-1
MCV-118,118,,1,MCV,-35.45,150.4,96,27/2/2020,2020,2,27,58,-1
MCV-119,119,,1,MCV,-35.45,150.4,96,27/2/2020,2020,2,27,58,-1
MCV-12,12,abeona,1,MCV,-36.7,150,60,25/1/2020,2020,1,25,25,1
MCV-120,120,,1,MCV,-35.45,150.4,96,27/2/2020,2020,2,27,58,-1
MCV-121,121,,1,MCV,-35.45,150.4,96,27/2/2020,2020,2,27,58,-1
MCV-13,13,abeona,1,MCV,-36.7,150,48,25/1/2020,2020,1,25,25,1
MCV-14,14,?,1,MCV,-36.7,150,48,25/1/2020,2020,1,25,25,1
MCV-15,15,albifascia,-1,MCV,-36.15,150.05,70,26/1/2020,2020,1,26,26,1
MCV-16,16,abeona,1,MCV,-36.15,150.05,59,26/1/2020,2020,1,26,26,1
MCV-17,17,albifascia,-1,MCV,-36.15,150.05,59,26/1/2020,2020,1,26,26,1
MCV-18,18,abeona,1,MCV,-36.15,150.05,59,26/1/2020,2020,1,26,26,1
MCV-19,19,abeona,1,MCV,-36.15,150.05,59,26/1/2020,2020,1,26,26,1
MCV-2,2,abeona,1,MCV,-35.55,150.35,76,21/1/2020,2020,1,21,21,1
MCV-20,20,abeona,1,MCV,-36.15,150.05,70,26/1/2020,2020,1,26,26,1
MCV-21,21,?,1,MCV,-36.15,150.05,70,26/1/2020,2020,1,26,26,1
MCV-22,22,albifascia,1,MCV,-36.15,150.05,70,26/1/2020,2020,1,26,26,1
MCV-23,23,albifascia,1,MCV,-36.15,150.05,77,26/1/2020,2020,1,26,26,1
MCV-24,24,,1,MCV,-36.15,150.05,77,26/1/2020,2020,1,26,26,1
MCV-25,25,,1,MCV,-36.15,150.05,56,26/1/2020,2020,1,26,26,1
MCV-26,26,,1,MCV,-36.15,150.05,56,26/1/2020,2020,1,26,26,1
MCV-27,27,,1,MCV,-36.15,150.05,56,26/1/2020,2020,1,26,26,1
MCV-28,28,,1,MCV,-36.15,150.05,63,26/1/2020,2020,1,26,26,1
MCV-29,29,,1,MCV,-36.15,150.05,97,26/1/2020,2020,1,26,26,1
MCV-3,3,abeona,1,MCV,-35.6,150.3,103,22/1/2020,2020,1,22,22,1
MCV-30,30,,1,MCV,-36.15,150.05,97,26/1/2020,2020,1,26,26,1
MCV-31,31,,1,MCV,-36.15,150.05,97,26/1/2020,2020,1,26,26,1
MCV-32,32,,1,MCV,-36.95,149.9,31,27/1/2020,2020,1,27,27,1
MCV-33,33,,1,MCV,-36.95,149.9,31,27/1/2020,2020,1,27,27,1
MCV-34,34,,1,MCV,-36.95,149.9,31,27/1/2020,2020,1,27,27,1
MCV-35,35,,1,MCV,-36.95,149.9,31,27/1/2020,2020,1,27,27,1
MCV-36,36,,1,MCV,-36.95,149.9,31,27/1/2020,2020,1,27,27,1
MCV-37,37,,1,MCV,-36.95,149.9,31,27/1/2020,2020,1,27,27,1
MCV-38,38,,-1,MCV,-36.95,149.9,31,27/1/2020,2020,1,27,27,1
MCV-39,39,,1,MCV,-36.95,149.9,31,27/1/2020,2020,1,27,27,1
MCV-4,4,?,1,MCV,-36.15,150,162,23/1/2020,2020,1,23,23,1
MCV-40,40,,1,MCV,-37.35,149.75,106,28/1/2020,2020,1,28,28,1
MCV-41,41,,1,MCV,-37.35,149.75,106,28/1/2020,2020,1,28,28,1
MCV-42,42,,1,MCV,-37.35,149.75,106,28/1/2020,2020,1,28,28,1
MCV-43,43,,1,MCV,-37.3,149.75,119,28/1/2020,2020,1,28,28,1
MCV-44,44,,1,MCV,-37.3,149.75,116,28/1/2020,2020,1,28,28,1
MCV-45,45,,1,MCV,-37.3,149.75,116,28/1/2020,2020,1,28,28,1
MCV-46,46,,-1,MCV,-37.3,149.75,116,28/1/2020,2020,1,28,28,1
MCV-47,47,,1,MCV,-37.3,149.75,97,28/1/2020,2020,1,28,28,1
MCV-48,48,,1,MCV,-37.3,149.75,180,28/1/2020,2020,1,28,28,1
MCV-49,49,,1,MCV,-36.95,149.9,31,28/1/2020,2020,1,28,28,1
MCV-5,5,abeona,-1,MCV,-35.55,150.35,76,23/1/2020,2020,1,23,23,1
MCV-50,50,,1,MCV,-36.95,149.9,31,28/1/2020,2020,1,28,28,1
MCV-51,51,,-1,MCV,-36.95,149.9,31,28/1/2020,2020,1,28,28,1
MCV-52,52,,1,MCV,-36.95,149.9,31,28/1/2020,2020,1,28,28,1
MCV-53,53,,1,MCV,-36.95,149.9,31,28/1/2020,2020,1,28,28,1
MCV-54,54,,1,MCV,-37.1,149.95,67,29/1/2020,2020,1,29,29,1
MCV-55,55,,1,MCV,-37.1,149.95,67,29/1/2020,2020,1,29,29,1
MCV-56,56,,1,MCV,-37.1,149.95,67,29/1/2020,2020,1,29,29,1
MCV-57,57,,1,MCV,-37.1,149.95,67,29/1/2020,2020,1,29,29,1
MCV-58,58,,1,MCV,-37.1,149.95,67,29/1/2020,2020,1,29,29,1
MCV-59,59,,1,MCV,-37.1,149.95,67,29/1/2020,2020,1,29,29,1
MCV-6,6,abeona,1,MCV,-35.55,150.35,76,23/1/2020,2020,1,23,23,1
MCV-60,60,,-1,MCV,-37.3,149.75,84,29/1/2020,2020,1,29,29,1
MCV-61,61,,-1,MCV,-37.3,149.75,84,29/1/2020,2020,1,29,29,1
MCV-62,62,,1,MCV,-37.35,149.75,106,29/1/2020,2020,1,29,29,1
MCV-63,63,,1,MCV,-37.35,149.75,106,29/1/2020,2020,1,29,29,1
MCV-64,64,,-1,MCV,-37.35,149.75,106,29/1/2020,2020,1,29,29,1
MCV-65,65,,1,MCV,-37.35,149.75,132,29/1/2020,2020,1,29,29,1
MCV-66,66,,1,MCV,-37.35,149.7,166,29/1/2020,2020,1,29,29,1
MCV-67,67,,1,MCV,-37.35,149.7,166,29/1/2020,2020,1,29,29,1
MCV-68,68,,1,MCV,-37.35,149.7,166,29/1/2020,2020,1,29,29,1
MCV-69,69,,1,MCV,-37.1,149.95,67,30/1/2020,2020,1,30,30,1
MCV-7,7,abeona,1,MCV,-35.55,150.35,76,23/1/2020,2020,1,23,23,1
MCV-70,70,,-1,MCV,-36.7,150,29,30/1/2020,2020,1,30,30,1
MCV-71,71,,1,MCV,-35.55,150.3,98,31/1/2020,2020,1,31,31,1
MCV-72,72,,1,MCV,-35.55,150.35,76,31/1/2020,2020,1,31,31,1
MCV-73,73,,1,MCV,-35.55,150.35,76,31/1/2020,2020,1,31,31,1
MCV-74,74,,1,MCV,-35.55,150.35,76,31/1/2020,2020,1,31,31,1
MCV-75,75,,1,MCV,-35.55,150.35,76,31/1/2020,2020,1,31,31,1
MCV-76,76,,1,MCV,-35.55,150.35,76,31/1/2020,2020,1,31,31,1
MCV-77,77,,1,MCV,-35.55,150.35,76,31/1/2020,2020,1,31,31,1
MCV-78,78,,1,MCV,-35.45,150.4,96,21/2/2020,2020,2,21,52,-1
MCV-79,79,,1,MCV,-35.45,150.4,96,21/2/2020,2020,2,21,52,-1
MCV-8,8,abeona,-1,MCV,-35.55,150.35,76,23/1/2020,2020,1,23,23,1
MCV-80,80,,-1,MCV,-35.45,150.4,96,21/2/2020,2020,2,21,52,-1
MCV-81,81,,1,MCV,-35.45,150.4,96,21/2/2020,2020,2,21,52,-1
MCV-82,82,,1,MCV,-35.45,150.4,96,21/2/2020,2020,2,21,52,-1
MCV-83,83,,-1,MCV,-35.45,150.4,96,21/2/2020,2020,2,21,52,-1
MCV-84,84,,1,MCV,-35.45,150.4,96,21/2/2020,2020,2,21,52,-1
MCV-85,85,,1,MCV,-35.7,150.15,95,22/2/2020,2020,2,22,53,-1
MCV-86,86,,1,MCV,-35.85,150.1,76,22/2/2020,2020,2,22,53,-1
MCV-87,87,,1,MCV,-36,150.1,76,23/2/2020,2020,2,23,54,-1
MCV-88,88,,1,MCV,-36,150.1,76,23/2/2020,2020,2,23,54,-1
MCV-89,89,,1,MCV,-36,150.1,76,23/2/2020,2020,2,23,54,-1
MCV-9,9,abeona,-1,MCV,-35.55,150.35,76,23/1/2020,2020,1,23,23,1
MCV-90,90,,1,MCV,-36,150.1,76,23/2/2020,2020,2,23,54,-1
MCV-91,91,,1,MCV,-36,150.1,76,23/2/2020,2020,2,23,54,-1
MCV-92,92,,1,MCV,-36,150.1,76,23/2/2020,2020,2,23,54,-1
MCV-93,93,,1,MCV,-36,150.1,76,23/2/2020,2020,2,23,54,-1
MCV-94,94,,1,MCV,-36.7,150,48,24/1/2020,2020,1,24,24,1
MCV-95,95,,1,MCV,-36.7,150,48,24/1/2020,2020,1,24,24,1
MCV-96,96,,1,MCV,-36.7,150,48,24/1/2020,2020,1,24,24,1
MCV-97,97,,1,MCV,-36.7,150,48,24/1/2020,2020,1,24,24,1
MCV-98,98,,1,MCV,-36.7,150,48,24/1/2020,2020,1,24,24,1
MCV-99,99,,1,MCV,-36.7,150,48,24/1/2020,2020,1,24,24,1
